,genre,rating,review_num,url,img
아이러브니키,simulation,2,72500,https://play.google.com/store/apps/details?id=com.kakaogames.nikki,https://play-lh.googleusercontent.com/IvX9Rr_QbjyWLNAp3OCs6FdmF6GcTMS_MzgQDsktU3il1DNy6z2rBlEvCKL6FgOMkfY=w240-h480-rw
아이러브버거,simulation,3.5,7400,https://play.google.com/store/apps/details?id=kr.co.sonew.ilh.kakao,https://play-lh.googleusercontent.com/-P33hY5ot2z6DTn6rUuMIEYkKf1XKr3lMiitpw6y1_DtnMvLYrV59g5ORrpZTvTP01Y=w240-h480-rw
아이러브쇼핑,simulation,3.7,41500,https://play.google.com/store/apps/details?id=com.noknok.small,https://play-lh.googleusercontent.com/z2PbTtW8OO3FyapfOKuV4r1ICEd8odlk5QDbyZyzuJpmuLZg8FOtNauDSds0kT5KNg=w240-h480-rw
마이리틀팜,simulation,3.3,6140,https://play.google.com/store/apps/details?id=com.mobilfactory.mylittlefarm,https://play-lh.googleusercontent.com/f8nWZtpUUuVuLzYrFNAGqtW0MYu5awrkWM-Lu8fzmedSMKWi8v6l9p9S3wl2T5KbAw0=w240-h480-rw
해피딜리버리,simulation,4.1,23300,https://play.google.com/store/apps/details?id=com.noknok.HappyDelivery,https://play-lh.googleusercontent.com/dgfKqBEuOAWRRT--FCU6bwu2TtXS2uJO8S-a1X5r2dB-cQyPLJI68_Gtu7OMgiT1l3A=w240-h480-rw
패밀리를 부탁해,simulation,3.2,33200,https://play.google.com/store/apps/details?id=kr.noknok.HappyLifeKr,https://play-lh.googleusercontent.com/eJAmU3cX9zhbhYFGGLXTGN-fbdNvwYdh2ym8DiY3L15iTJ5KDyysaIz2ENF_a2qXtB4=w240-h480-rw
패션시티,simulation,2.8,17400,https://play.google.com/store/apps/details?id=kr.noknok.FashionCity,https://play-lh.googleusercontent.com/Ap_X-T8cy-uZFdLBvWNskyy20d_chFnJe_MaZq1t8KBptwBDKCfB2w3N0cF5FSacO0qp=w240-h480-rw
아이러브파스타,simulation,4.4,231000,https://play.google.com/store/apps/details?id=com.patigames.ilovepasta4kakao,https://play-lh.googleusercontent.com/GDQ5Vvz6QILSIll9oZ3n-ATT3DeufdDVqNgngrkQUJHhAz_BFMQwabtphNa1vXPgNbw=w240-h480-rw
해피해피브레드,simulation,4.3,99900,https://play.google.com/store/apps/details?id=com.noknok.HHBREAD,https://play-lh.googleusercontent.com/99mWmdYoQkNH1nS29QmoQ9DoBt5xAPAxUTO5HlTkQ47staAfNRlu9-pbSfgyJQAB7MA=w240-h480-rw
아이러브스타일,simulation,4.3,157000,https://play.google.com/store/apps/details?id=com.noknok.BEAUTYCITY,https://play-lh.googleusercontent.com/YW6AJwFL4jRYxcjFJk6eVmDuTPs4BvRMOm9fonlUivr8tmUhv60twSdAPrbrRyv8C9tS=w240-h480-rw
아이러브치킨,simulation,4.2,72500,https://play.google.com/store/apps/details?id=kr.co.sonew.chickentycoon3.google,https://play-lh.googleusercontent.com/sv_rm31VMfMFCEQfmH8y0MpAfGwXVgTR6dAJfyA1CnrGOcnKCPXQySpvJ5Nzb-sEgqwB=w240-h480-rw
에브리타운,simulation,3.2,285000,https://play.google.com/store/apps/details?id=kr.co.feverstudio.apps.everytown,https://play-lh.googleusercontent.com/QQ8tPnhWH2kqGq2KA_UIBU-_Sg3njZbR2jULdy6QulYKy8WuhssTBDIdhTHhbd-O4yE=w240-h480-rw
아이러브커피,simulation,3.4,148000,https://play.google.com/store/apps/details?id=com.patistudio.milc4kakao,https://play-lh.googleusercontent.com/9C8N-7K1LWmePp53fqJGvi5U8aV19voJ9TDmJ4F8C2JFHbvr3deatIn9Uo3HLCIJXQ=w240-h480-rw
바이킹아일랜드,simulation,3.5,37800,https://play.google.com/store/apps/details?id=com.ngonsub.VikingIsland,https://play-lh.googleusercontent.com/GvsRiG4IqgOl8ClHt-OI0ejUdswfUJ2VQauLhI2AoORiUz05wrAAMrC8L8oGMTEbCyJF=w240-h480-rw
피망 섯다,board,4.2,11500,https://play.google.com/store/apps/details?id=com.neowiz.games.suddaKakao,https://play-lh.googleusercontent.com/AgrmOotjBzn15wI8SRbc6wiXMJtQY36TFuk8TERQ4B3aqVozZVG-jgxgZIFkqDRcfLke=w240-h480-rw
피망 뉴맞고,board,3.9,34000,https://play.google.com/store/apps/details?id=com.neowiz.games.newmatgoKakao,https://play-lh.googleusercontent.com/pzF5YUspjleq9i40CPgpiJWNCK9hdsirffesuDck2BlJm1QtYs7Ym4PCJbi5wp3ORQ=w240-h480-rw
애니팡 섯다,board,3.8,11800,https://play.google.com/store/apps/details?id=com.sundaytoz.kakao.sutda.service,https://play-lh.googleusercontent.com/xTnvNbRye5Vyd-WHDhn4q3UOuLfEksFWvim6RkZGx9ewBT5YTD2ODo5RMU9WGfd2_zU=w240-h480-rw
