title,genre,rating,review_num,url,img,key_words
몬스터 길들이기,roleplaying,4,1480000,https://play.google.com/store/apps/details?id=com.cjenm.monster,https://play-lh.googleusercontent.com/8bCmDr8ky7UuoKOFBacfZtaVmtQGbXnIwaM-zK_l_A-7TxX_o87LGe6jvThoiNyhUP4=w240-h480-rw,"['퍼스트', '별되', '복귀', '퍼임', '인피니티', '신위', '동료', '스토리', '캐릭터', '보상']"
헬로히어로,roleplaying,4,38200,https://play.google.com/store/apps/details?id=com.fincon.hh,https://play-lh.googleusercontent.com/_ly_1QEVcWK4qaH06nSvgy4lAvfsFNqQ4cVFmY4GKwJ7M5hvIJS6Z29ucwQfsPJZw9A=w240-h480-rw,"['신장', '대륙', '몬스터', '캐릭터', '복귀', '옛날', '초월', '미나', '수호', '현신']"
우마무스메 프리티 더비,simulation,4.5,50600,https://play.google.com/store/apps/details?id=com.kakaogames.umamusume,https://play-lh.googleusercontent.com/GRRgk62T-pWfC31TzcHe1_pALUc9oBtKLQsWB-VBxapLGSyoJl2VodT2Wr1XgwtCkw=w240-h480-rw,"['우마무스메', '육성', '운영', '경마', '챔미', '미팅', '가챠', '일본', '정도', '쥬얼']"
아이러브마트,simulation,4,9200,https://play.google.com/store/apps/details?id=com.noknok.mart,https://play-lh.googleusercontent.com/dcAE5OuT5QFmrJkJL5WxZlxsuGzmhvNLRtpApZ6iLLZp6udJSsB9hXGjanmKPCsEWSvK=w240-h480-rw,"['크루', '마트', '주문서', '탐험', '품절', '보관', '농장', '상품권', '수확', '데코']"
아이러브판타지,simulation,3.8,8230,https://play.google.com/store/apps/details?id=com.noknok.heroesinnkakao,https://play-lh.googleusercontent.com/_hdGaVBtqRylNAcDdoASIO08Q72Trt3KBnHflO90mOBa6ZNX72OI4SyTlPQkhl1yVY7d=w240-h480-rw,"['용병', '파견', '탐험', '여관', '러브', '시간', '일손', '가판대', '주문서', '용사']"
스튜어디스 타이쿤,simulation,4.3,2430,https://play.google.com/store/apps/details?id=com.softzen.stycoon,https://play-lh.googleusercontent.com/KY91JYrnO3V3EuF_LdA-MVb94XVMFCVp6E2z90S_bGWMX19nNtgnd_dBMIAe98qEzg=w240-h480-rw,"['엔딩', '벌점', '스튜어디스', '서재희', '비행', '사무장', '청혼', '미션', '타이쿤', '기내식']"
마이리틀셰프: 레스토랑 카페 타이쿤 경영 요리 게임,simulation,4.6,18800,https://play.google.com/store/apps/details?id=com.grampus.cookingadventureforkakao,https://play-lh.googleusercontent.com/uGOgh75raTW5AIcKGn2h9L-6vscCBY3g10YMAKk8t8y5xocRC86wG13b0puPPzy4b5Y=w240-h480-rw,"['럭키', '레스토랑', '음식', '식당', '요리', '마리셰', '음식점', '다이아', '현지', '스테이지']"
놀러와 마이홈,simulation,3.5,62100,https://play.google.com/store/apps/details?id=com.kakaogames.myhome,https://play-lh.googleusercontent.com/5hnskQs_e3PBVbUBXpjcrLwWNy7Fy3FebYEYQ9wXBqdWmmx1YEpP2sLhLOStYStkHQPQ=w240-h480-rw,"['공방', '마이', '퀘스트', '창고', '의뢰', '시장', '협회', '자갈', '물건', '재료']"
아이러브니키,simulation,2,72500,https://play.google.com/store/apps/details?id=com.kakaogames.nikki,https://play-lh.googleusercontent.com/IvX9Rr_QbjyWLNAp3OCs6FdmF6GcTMS_MzgQDsktU3il1DNy6z2rBlEvCKL6FgOMkfY=w240-h480-rw,"['아이러브니키', '니키', '의상', '이벤트', '루비', '도안', '한복', '오디션', '여정', '세트']"
아이러브버거,simulation,3.5,7400,https://play.google.com/store/apps/details?id=kr.co.sonew.ilh.kakao,https://play-lh.googleusercontent.com/-P33hY5ot2z6DTn6rUuMIEYkKf1XKr3lMiitpw6y1_DtnMvLYrV59g5ORrpZTvTP01Y=w240-h480-rw,"['조리기', '버거', '루비', '장갑', '러브', '알바', '진열대', '매장', '농장', '수확']"
아이러브쇼핑,simulation,3.7,41500,https://play.google.com/store/apps/details?id=com.noknok.small,https://play-lh.googleusercontent.com/z2PbTtW8OO3FyapfOKuV4r1ICEd8odlk5QDbyZyzuJpmuLZg8FOtNauDSds0kT5KNg=w240-h480-rw,"['매장', '터치', '러브', '보관', '쇼핑', '편집', '진열', '아이', '수금', '가구']"
마이리틀팜,simulation,3.3,6140,https://play.google.com/store/apps/details?id=com.mobilfactory.mylittlefarm,https://play-lh.googleusercontent.com/f8nWZtpUUuVuLzYrFNAGqtW0MYu5awrkWM-Lu8fzmedSMKWi8v6l9p9S3wl2T5KbAw0=w240-h480-rw,"['농장', '숲속', '크루톤', '도끼', '과일나무', '확장', '나무', '창고', '블루젬', '업뎃']"
해피딜리버리,simulation,4.1,23300,https://play.google.com/store/apps/details?id=com.noknok.HappyDelivery,https://play-lh.googleusercontent.com/dgfKqBEuOAWRRT--FCU6bwu2TtXS2uJO8S-a1X5r2dB-cQyPLJI68_Gtu7OMgiT1l3A=w240-h480-rw,"['레시피', '딜리버리', '햄버거', '해피', '커피', '버거', '재미', '시작', '친구', '레벨']"
패밀리를 부탁해,simulation,3.2,33200,https://play.google.com/store/apps/details?id=kr.noknok.HappyLifeKr,https://play-lh.googleusercontent.com/eJAmU3cX9zhbhYFGGLXTGN-fbdNvwYdh2ym8DiY3L15iTJ5KDyysaIz2ENF_a2qXtB4=w240-h480-rw,"['수리', '가구', '밥솥', '로딩', '패밀리', '처음', '시작', '예전', '수정', '아기']"
패션시티,simulation,2.8,17400,https://play.google.com/store/apps/details?id=kr.noknok.FashionCity,https://play-lh.googleusercontent.com/Ap_X-T8cy-uZFdLBvWNskyy20d_chFnJe_MaZq1t8KBptwBDKCfB2w3N0cF5FSacO0qp=w240-h480-rw,"['마네킹', '코디', 'dp', '시티', '패션', '단추', '완료', '알몸', '디피', '쇼윈도']"
아이러브파스타,simulation,4.4,231000,https://play.google.com/store/apps/details?id=com.patigames.ilovepasta4kakao,https://play-lh.googleusercontent.com/GDQ5Vvz6QILSIll9oZ3n-ATT3DeufdDVqNgngrkQUJHhAz_BFMQwabtphNa1vXPgNbw=w240-h480-rw,"['파스타', '러브', '아이러브커피', '아이', '캐시', '오랜만', '단골손님', '시간', '퀘스트', '인테리어']"
해피해피브레드,simulation,4.3,99900,https://play.google.com/store/apps/details?id=com.noknok.HHBREAD,https://play-lh.googleusercontent.com/99mWmdYoQkNH1nS29QmoQ9DoBt5xAPAxUTO5HlTkQ47staAfNRlu9-pbSfgyJQAB7MA=w240-h480-rw,"['레시피', '콜렉션', '오랜만', '보상', '메일', '고양이', '수정', '프로필', '친구', '퀘스트']"
